msgtype,time,raw
GPS,2026-03-31T16:15:04.8006259+03:00,"GPS;62014626;0;6;220522800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8901;0;0;1"
GPS,2026-03-31T16:15:05.0006259+03:00,"GPS;62214626;0;6;220523000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8906;0;0;1"
GPS,2026-03-31T16:15:05.2006259+03:00,"GPS;62414626;0;6;220523200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87225;0;0;1"
GPS,2026-03-31T16:15:05.4006259+03:00,"GPS;62614626;0;6;220523400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87225;0;0;1"
GPS,2026-03-31T16:15:05.6006259+03:00,"GPS;62814626;0;6;220523600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87225;0;0;1"
GPS,2026-03-31T16:15:05.8006259+03:00,"GPS;63014626;0;6;220523800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.90326;0;0;1"
GPS,2026-03-31T16:15:06.0006259+03:00,"GPS;63214626;0;6;220524000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.90378;0;0;1"
GPS,2026-03-31T16:15:06.2006259+03:00,"GPS;63414626;0;6;220524200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87607;0;0;1"
GPS,2026-03-31T16:15:06.4006259+03:00,"GPS;63614626;0;6;220524400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87607;0;0;1"
GPS,2026-03-31T16:15:06.6006259+03:00,"GPS;63814626;0;6;220524600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87607;0;0;1"
GPS,2026-03-31T16:15:06.8006180+03:00,"GPS;64014618;0;6;220524800;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29036;0;0;1"
GPS,2026-03-31T16:15:07.0005510+03:00,"GPS;64214551;0;6;220525000;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.28969;0;0;1"
GPS,2026-03-31T16:15:07.2004839+03:00,"GPS;64414484;0;6;220525200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8738;0;0;1"
GPS,2026-03-31T16:15:07.4004170+03:00,"GPS;64614417;0;6;220525400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8791;0;0;1"
GPS,2026-03-31T16:15:07.6003490+03:00,"GPS;64814349;0;6;220525600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8791;0;0;1"
GPS,2026-03-31T16:15:07.8002820+03:00,"GPS;65014282;0;6;220525800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8791;0;0;1"
GPS,2026-03-31T16:15:08.0002149+03:00,"GPS;65214215;0;6;220526000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87415;0;0;1"
GPS,2026-03-31T16:15:08.2001480+03:00,"GPS;65414148;0;6;220526200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8747;0;0;1"
GPS,2026-03-31T16:15:08.4000810+03:00,"GPS;65614081;0;6;220526400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8806;0;0;1"
GPS,2026-03-31T16:15:08.6000130+03:00,"GPS;65814013;0;6;220526600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8806;0;0;1"
GPS,2026-03-31T16:15:08.8009459+03:00,"GPS;66014946;0;6;220526800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8806;0;0;1"
GPS,2026-03-31T16:15:09.0008790+03:00,"GPS;66214879;0;6;220527000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.89142;0;0;1"
GPS,2026-03-31T16:15:09.2008120+03:00,"GPS;66414812;0;6;220527200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.89154;0;0;1"
GPS,2026-03-31T16:15:09.4007440+03:00,"GPS;66614744;0;6;220527400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8812;0;0;1"
GPS,2026-03-31T16:15:09.6006769+03:00,"GPS;66814677;0;6;220527600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8812;0;0;1"
GPS,2026-03-31T16:15:09.8006100+03:00,"GPS;67014610;0;6;220527800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8812;0;0;1"
GPS,2026-03-31T16:15:10.0005430+03:00,"GPS;67214543;0;6;220528000;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29031;0;0;1"
